Category,Topic,X6 xDrive40i M Sport
อุปกรณ์ภายนอก,ระบบปรับการทำงานไฟสูงอัตโนมัติ (High-beam Assistant),■
อุปกรณ์ภายนอก,กระจังหน้า BMW kidney 'Iconic Glow',■
อุปกรณ์ภายนอก,คาลิเปอร์เบรกดีไซน์ M Sport สีแดงเข้ม,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ (Comfort Access System),■
อุปกรณ์ภายนอก,ระบบช่วยผ่อนแรงกระแทกขณะปิดประตู (Soft-close function for doors),■
อุปกรณ์ภายนอก,หลังคากระจก Panorama Sky Lounge,■
อุปกรณ์ภายนอก,กระจกมองข้างปรับไฟฟ้าพร้อมระบบตัดแสงอัตโนมัติฝั่งคนขับ,■
อุปกรณ์ภายนอก,ชุดตกแต่ง M Aerodynamics,■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยชุดแต่ง M สีดำเข้ม,■
อุปกรณ์ภายนอก,ภายนอกพร้อมชุดตกแต่งด้วยวัสดุสีดำเข้ม,■
อุปกรณ์ภายนอก,โคมไฟหน้าตกแต่งดีไซน์ M สีดำ (M Lights Shadow Line),■
อุปกรณ์ภายใน,ระบบอุ่นเบาะสำหรับคนขับและผู้โดยสารเบาะหน้า,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าแบบ Comfort ปรับไฟฟ้าพร้อมระบบจำตำแหน่ง,■
อุปกรณ์ภายใน,พวงมาลัยหุ้มหนังดีไซน์ M,■
อุปกรณ์ภายใน,เข็มขัดนิรภัยดีไซน์ M,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร (Ambient Light),■
อุปกรณ์ภายใน,หลังคาภายในดีไซน์ M สี Anthracite,■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยวัสดุหนังแท้,■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยผลึกแก้ว 'CraftedClarity',■
อุปกรณ์ภายใน,ภายในตกแต่งดีไซน์ M ด้วยวัสดุ Carbon Fibre,■
อุปกรณ์ภายใน,ม่านบังแดดประตูหลัง,■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติแบบ 4 โซน,■
อุปกรณ์ภายใน,ระบบจัดเก็บสัมภาระท้ายรถ,■
อุปกรณ์ภายใน,ระบบ Travel & Comfort,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■
ระบบความบันเทิงและการสื่อสาร,ระบบเสียงรอบทิศทางคุณภาพสูง Bowers & Wilkins Diamond,■
ระบบความบันเทิงและการสื่อสาร,ระบบเชื่อมต่อ Smartphone,■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง (ยกเว้นผู้โดยสารตอนหลังกลาง),■
ความปลอดภัย,ระบบ Teleservices,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■
ความปลอดภัย,ระบบควบคุมการยึดเกาะถนน (DTC),■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■
ความปลอดภัย,ระบบ Active Protection,■
ความปลอดภัย,ชุดปะยางฉุกเฉิน,■
ความปลอดภัย,ยางอะไหล่,■
ความปลอดภัย,ระบบตรวจสอบวัดลมยาง,■
ความปลอดภัย,ระบบเตือนการชนด้านหน้าพร้อมระบบช่วยเบรก,■
ความปลอดภัย,ระบบเตือนคนเดินเท้าพร้อมระบบเบรกอัตโนมัติในเมือง,■
ความปลอดภัย,ระบบเตือนรถออกนอกเลนพร้อมช่วยนำรถกลับเข้าเลน,■
ความปลอดภัย,ระบบเตือนการเปลี่ยนเลน,■
ความปลอดภัย,ระบบเตือนการจราจรด้านหลัง,■
ความปลอดภัย,ระบบป้องกันการชนด้านหลัง,■
ความปลอดภัย,ระบบควบคุมความเร็วอัตโนมัติพร้อมฟังก์ชัน Stop&Go (Active cruise control with Stop&Go function),■
ความปลอดภัย,ระบบช่วยควบคุมรถให้อยู่ในช่องทางเดินรถ,■
ความปลอดภัย,ระบบช่วยหยุดรถฉุกเฉิน,■
ความปลอดภัย,ระบบช่วยเปลี่ยนช่องทางเดินรถ,■
ความปลอดภัย,ระบบช่วยควบคุมรถให้อยู่ในช่องทางเดินรถพร้อมป้องกันการชนจากด้านข้าง,■
ความปลอดภัย,ระบบเตือนการจราจรด้านหน้า,■
ความปลอดภัย,ระบบช่วยหลบหลีกฉุกเฉิน,■
ความปลอดภัย,ระบบเตือนการชนที่ทางแยกพร้อมช่วยเบรกฉุกเฉิน,■
ชุดตกแต่งพิเศษ,ชุดตกแต่ง M Sport Pro,■
Paintwork / สีตัวถังและวัสดุภายใน,Brooklyn Grey Metallic,BMW Individual extended leather trim 'Merino' - Black | Black
Paintwork / สีตัวถังและวัสดุภายใน,Mineral White Metallic,BMW Individual extended leather trim 'Merino' - Coffee | Black
Paintwork / สีตัวถังและวัสดุภายใน,Black Sapphire Metallic,BMW Individual extended leather trim 'Merino' - Coffee | Black
Paintwork / สีตัวถังและวัสดุภายใน,Manhattan Metallic,BMW Individual extended leather trim 'Merino' - Coffee | Black
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,1 กันยายน 2566
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),(Z9V)
